image,name,main_category
https://m.media-amazon.com/images/I/514m+JUaR8L._AC_UL320_.jpg,DIGITAL SHOPEE Skin Ultra Thin Socks for Women & Girls - Multicolor,sports & fitness
https://m.media-amazon.com/images/I/51DO2xw67zL._AC_UL320_.jpg,"OLAHRAGA Adjustable Hand Grip Strengthener Resistance from5-60 kg, Non-Slip Hand Gripper Perfect for Musicians Athletes an...",sports & fitness
https://m.media-amazon.com/images/I/7152PCh-V8L._AC_UL320_.jpg,Jockey Women Boy Leg,sports & fitness
https://m.media-amazon.com/images/I/51gLonI8VsL._AC_UL320_.jpg,Zexer Men Men Compression T-Shirt Gym and Sports Wear T-Shirt for Men | Body fit Skinny T-Shirt (Black,sports & fitness
https://m.media-amazon.com/images/I/71r3RWbLWAL._AC_UL320_.jpg,JUGULAR Men's Slim Fit Track pants,sports & fitness
https://m.media-amazon.com/images/I/61eI78WDoQL._AC_UL320_.jpg,Kore (PVC/ Rubber/ Coloured Rubber/ Steel/ Professional Metal Integrted)  10 - 30 Kg Spare Weight Plates Combo,sports & fitness
https://m.media-amazon.com/images/I/51OZ1x5Zt6L._AC_UL320_.jpg,"Rioff® Steel Pull Up Chin up Bar, Steel Chin Up, Sangal Rod with Chain Hanging Rod ChinUp Bar, Height Increaser and Pull E...",sports & fitness
https://m.media-amazon.com/images/I/71t8ANKkBzL._AC_UL320_.jpg,Aurion PVC Dumbbells - (1kg*2) (2kg*2) (3kg*2) (Set of 3) | Premium Hand Weight Dumbbell | Exercise and Fitness Training E...,sports & fitness
https://m.media-amazon.com/images/I/618dJgxlsrL._AC_UL320_.jpg,"FitBox Sports Intruder Hand Grips, Set of 2 (Black)",sports & fitness
https://m.media-amazon.com/images/I/514qXNC3aeL._AC_UL320_.jpg,"BROGBUS Weight Lifting Workout Gym Gloves with Wrist Support for Men and Women (XL, Black) Material: neoprene",sports & fitness
https://m.media-amazon.com/images/I/81GffNsMvxL._AC_UL320_.jpg,Adidas Unisex Low Cut Cotton Blend Socks (Pack Of 3) (AD-0632 Lt Grey Mel/Black/Anthra Mel_Multicolor),sports & fitness
https://m.media-amazon.com/images/I/61uC3C7agpS._AC_UL320_.jpg,PLUMBURY Women's Nylon Lightly Padded Wire Free Sports Bra,sports & fitness
https://m.media-amazon.com/images/I/61qILzqY7qL._AC_UL320_.jpg,"FitBox Sports Adjustable Black/Gray Hand Grip (10kg - 40kg) Finger Excerciser, Hand Gripper For Men & Women",sports & fitness
https://m.media-amazon.com/images/I/71CYNFNXZrL._AC_UL320_.jpg,Jockey Women's Cotton Top,sports & fitness
https://m.media-amazon.com/images/I/61i+MEUIOPL._AC_UL320_.jpg,"OJS Yoga Mat for Women and Men with Strap And Cover Bag TPE Material Extra Thick Exercise Yoga Mat for Men for Workout, Yo...",sports & fitness
https://m.media-amazon.com/images/I/81n3kmyrMGL._AC_UL320_.jpg,"Harissons Jake Gym Bag, 31 L Duffel Bag with Shoe Compartment - Navy Red, Unisex, Polyester | 3 in 1 Multi-Purpose Duffle ...",sports & fitness
https://m.media-amazon.com/images/I/71CjS28Z1zL._AC_UL320_.jpg,"GOCART WITH G LOGO Resistance Bands, Exercise Bands Include 5 Different Levels Exercise Bands, Door Anchor, Foam Handles, ...",sports & fitness
https://m.media-amazon.com/images/I/51i9ProxZyL._AC_UL320_.jpg,EIO Unisex Kids Cotton Pajama Pants Pack of 6,sports & fitness
https://m.media-amazon.com/images/I/61GHfimWwuL._AC_UL320_.jpg,"Boldfit Skipping Rope for Men and Women Jumping Rope With Adjustable Height Speed Skipping Rope for Exercise, Gym, Sports ...",sports & fitness
https://m.media-amazon.com/images/I/81H-LScfRIL._AC_UL320_.jpg,"STRAUSS Yoga Belt (Blue, 8 Feet)",sports & fitness
https://m.media-amazon.com/images/I/71nvBRv6CoL._AC_UL320_.jpg,Signamio® Yoga Belt 8 Loop for Women and Men Extra Thick Exercise for Workout Yoga Fitness - Blue-Black-1pcs,sports & fitness
https://m.media-amazon.com/images/I/61aA1ucTyJL._AC_UL320_.jpg,Chromozome Men's Regular Shorts,sports & fitness
https://m.media-amazon.com/images/I/81nZnXUMtjL._AC_UL320_.jpg,"Amazon Brand - Symactive Rubber Coated Hex Dumbbells, Set of 2, 5 Kg",sports & fitness
https://m.media-amazon.com/images/I/71UYw8OS79L._AC_UL320_.jpg,Birthday Popper Drawstring Sack Bag (Set of 15) Birthday Return Gifts for All Age Group,sports & fitness
https://m.media-amazon.com/images/I/61-w1cccjwL._AC_UL320_.jpg,"Fitness Mantra® EVA Yoga Mat for Gym Workout and Yoga Exercise with 6mm Thickness, Anti-Slip Yoga Mat for Men & Women Fitn...",sports & fitness
https://m.media-amazon.com/images/I/61MGJI4mUuS._AC_UL320_.jpg,"Fashnex Resistance Band - 1.5 Meters Therapy Band - Exercise Band for Gym, Workout, Yoga, Physical Therapy, Home Exercise ...",sports & fitness
https://m.media-amazon.com/images/I/81t3XS8UciL._AC_UL320_.jpg,Alan Jones Clothing Men's Slim Fit Track pants,sports & fitness
https://m.media-amazon.com/images/I/71zL20ACshL._AC_UL320_.jpg,"FEGSY Resistance Tube Exercise Bands for Stretching, Workout, and Toning for Men, and Women - 50 LBS",sports & fitness
https://m.media-amazon.com/images/I/81wP4aErT4L._AC_UL320_.jpg,Chromozome Men's Athletic Track Pants,sports & fitness
